that -> EDAT (Standard Braille Order, Individual Reading Order)
that -> ZAT (Individual Reading Order, Standard Braille Order)
that -> EDINGST (Individual Reading Order, Merged Reading Order)
that -> GHINGM (Merged Reading Order, Standard Braille Order)
that -> EDINGST (Merged Reading Order, Individual Reading Order)
this -> EDBBFF (Standard Braille Order, Individual Reading Order)
this -> EDFFCC (Standard Braille Order, Merged Reading Order)
this -> THSST (Individual Reading Order, Merged Reading Order)
this -> THSST (Merged Reading Order, Individual Reading Order)
not -> GDT (Standard Braille Order, Individual Reading Order)
not -> VWO (Standard Braille Order, Merged Reading Order)
not -> RLT (Individual Reading Order, Standard Braille Order)
not -> GHANDL (Merged Reading Order, Standard Braille Order)
your -> ERXN (Standard Braille Order, Individual Reading Order)
your -> RWITHG (Standard Braille Order, Merged Reading Order)
your -> OFXP (Individual Reading Order, Standard Braille Order)
your -> PWITHN (Individual Reading Order, Merged Reading Order)
your -> OFMQ (Merged Reading Order, Standard Braille Order)
your -> PWITHN (Merged Reading Order, Individual Reading Order)
all -> AOO (Standard Braille Order, Individual Reading Order)
all -> OININ (Standard Braille Order, Merged Reading Order)
all -> AFF (Individual Reading Order, Standard Braille Order)
all -> LBBBB (Individual Reading Order, Merged Reading Order)
all -> LBBBB (Merged Reading Order, Individual Reading Order)
new -> GCTHE (Standard Braille Order, Individual Reading Order)
new -> VWCH (Standard Braille Order, Merged Reading Order)
new -> GHSHV (Merged Reading Order, Standard Braille Order)
was -> THEAFF (Standard Braille Order, Individual Reading Order)
was -> OWMST (Individual Reading Order, Merged Reading Order)
was -> OWINGC (Merged Reading Order, Standard Braille Order)
was -> OWMST (Merged Reading Order, Individual Reading Order)
has -> MAFF (Standard Braille Order, Individual Reading Order)
has -> MAJ (Individual Reading Order, Standard Braille Order)
but -> KWHT (Standard Braille Order, Individual Reading Order)
but -> UWHAR (Standard Braille Order, Merged Reading Order)
but -> CGHT (Individual Reading Order, Standard Braille Order)
but -> GHUFF (Individual Reading Order, Merged Reading Order)
but -> GHUFF (Merged Reading Order, Individual Reading Order)
one -> DGC (Standard Braille Order, Individual Reading Order)
one -> NOWK (Standard Braille Order, Merged Reading Order)
one -> LRK (Individual Reading Order, Standard Braille Order)
one -> LHL (Merged Reading Order, Standard Braille Order)
may -> HAER (Standard Braille Order, Individual Reading Order)
may -> HAOF (Individual Reading Order, Standard Braille Order)
which -> SHBBCH (Standard Braille Order, Individual Reading Order)
which -> DBBEN (Standard Braille Order, Merged Reading Order)
their -> GGBBN (Standard Braille Order, Individual Reading Order)
their -> JZH (Standard Braille Order, Merged Reading Order)
their -> ARVM (Individual Reading Order, Merged Reading Order)
their -> ARVM (Merged Reading Order, Individual Reading Order)
use -> WHFFC (Standard Braille Order, Individual Reading Order)
use -> GHJK (Individual Reading Order, Standard Braille Order)
use -> OENF (Individual Reading Order, Merged Reading Order)
use -> OHST (Merged Reading Order, Standard Braille Order)
use -> OENF (Merged Reading Order, Individual Reading Order)
any -> AGER (Standard Braille Order, Individual Reading Order)
any -> AROF (Individual Reading Order, Standard Braille Order)
there -> GGNC (Standard Braille Order, Individual Reading Order)
there -> FFXL (Standard Braille Order, Merged Reading Order)
there -> WPK (Individual Reading Order, Standard Braille Order)
there -> SOUF (Individual Reading Order, Merged Reading Order)
there -> TFS (Merged Reading Order, Standard Braille Order)
there -> SOUF (Merged Reading Order, Individual Reading Order)
see -> FFCC (Standard Braille Order, Individual Reading Order)
see -> FFSHA (Standard Braille Order, Merged Reading Order)
see -> JKK (Individual Reading Order, Standard Braille Order)
see -> SWHA (Individual Reading Order, Merged Reading Order)
see -> SCBB (Merged Reading Order, Standard Braille Order)
see -> SWHA (Merged Reading Order, Individual Reading Order)
his -> MBBFF (Standard Braille Order, Individual Reading Order)
here -> MANDC (Standard Braille Order, Individual Reading Order)
here -> MYK (Individual Reading Order, Standard Braille Order)
web -> THECK (Standard Braille Order, Individual Reading Order)
web -> FFGEA (Standard Braille Order, Merged Reading Order)
get -> PCT (Standard Braille Order, Individual Reading Order)
get -> NKT (Individual Reading Order, Standard Braille Order)
get -> EDINGL (Merged Reading Order, Standard Braille Order)
were -> THEANDC (Standard Braille Order, Individual Reading Order)
were -> TANDI (Standard Braille Order, Merged Reading Order)
these -> GGFFC (Standard Braille Order, Individual Reading Order)
these -> JUL (Standard Braille Order, Merged Reading Order)
these -> WJK (Individual Reading Order, Standard Braille Order)
these -> ARGHF (Individual Reading Order, Merged Reading Order)
these -> ARGST (Merged Reading Order, Standard Braille Order)
these -> ARGHF (Merged Reading Order, Individual Reading Order)
its -> BBTFF (Standard Braille Order, Individual Reading Order)
its -> OWNIN (Standard Braille Order, Merged Reading Order)
than -> EDAG (Standard Braille Order, Individual Reading Order)
than -> OFENCC (Standard Braille Order, Merged Reading Order)
than -> ZAR (Individual Reading Order, Standard Braille Order)
than -> LINGM (Merged Reading Order, Standard Braille Order)
find -> DBBO (Individual Reading Order, Standard Braille Order)
find -> XWHEA (Individual Reading Order, Merged Reading Order)
find -> MOWBB (Merged Reading Order, Standard Braille Order)
find -> XWHEA (Merged Reading Order, Individual Reading Order)
top -> TDR (Standard Braille Order, Individual Reading Order)
top -> GGGO (Standard Braille Order, Merged Reading Order)
top -> TLG (Individual Reading Order, Standard Braille Order)
top -> THENL (Individual Reading Order, Merged Reading Order)
top -> THEANDB (Merged Reading Order, Standard Braille Order)
top -> THENL (Merged Reading Order, Individual Reading Order)
had -> MAF (Standard Braille Order, Individual Reading Order)
had -> MAO (Individual Reading Order, Standard Braille Order)
list -> OBBCC (Standard Braille Order, Individual Reading Order)
list -> SHKE (Standard Braille Order, Merged Reading Order)
list -> WHBK (Individual Reading Order, Merged Reading Order)
list -> WHBK (Merged Reading Order, Individual Reading Order)
just -> SWHCC (Standard Braille Order, Individual Reading Order)
just -> ARGHCC (Individual Reading Order, Standard Braille Order)
just -> OWCFF (Individual Reading Order, Merged Reading Order)
just -> ITHEE (Merged Reading Order, Standard Braille Order)
just -> OWCFF (Merged Reading Order, Individual Reading Order)
over -> DZAND (Standard Braille Order, Individual Reading Order)
over -> ZGGX (Standard Braille Order, Merged Reading Order)
over -> LEDY (Individual Reading Order, Standard Braille Order)
over -> VTHEOU (Individual Reading Order, Merged Reading Order)
over -> OFGHZ (Merged Reading Order, Standard Braille Order)
over -> VTHEOU (Merged Reading Order, Individual Reading Order)
year -> HGGH (Standard Braille Order, Merged Reading Order)
year -> MTHEM (Individual Reading Order, Merged Reading Order)
year -> ZMM (Merged Reading Order, Standard Braille Order)
year -> MTHEM (Merged Reading Order, Individual Reading Order)
day -> FAER (Standard Braille Order, Individual Reading Order)
day -> OAOF (Individual Reading Order, Standard Braille Order)
day -> LINGU (Merged Reading Order, Standard Braille Order)
into -> BBTL (Individual Reading Order, Standard Braille Order)
into -> INWL (Individual Reading Order, Merged Reading Order)
into -> INRL (Merged Reading Order, Standard Braille Order)
into -> INWL (Merged Reading Order, Individual Reading Order)
two -> TTHED (Standard Braille Order, Individual Reading Order)
two -> JANDD (Standard Braille Order, Merged Reading Order)
two -> ARERO (Individual Reading Order, Merged Reading Order)
two -> ARNR (Merged Reading Order, Standard Braille Order)
two -> ARERO (Merged Reading Order, Individual Reading Order)
used -> WHFFV (Standard Braille Order, Individual Reading Order)
used -> THINV (Standard Braille Order, Merged Reading Order)
used -> GHJTH (Individual Reading Order, Standard Braille Order)
used -> ZBBED (Individual Reading Order, Merged Reading Order)
used -> ZBBED (Merged Reading Order, Individual Reading Order)
last -> OACC (Standard Braille Order, Individual Reading Order)
last -> UAE (Standard Braille Order, Merged Reading Order)
last -> FACC (Individual Reading Order, Standard Braille Order)
last -> GHAK (Individual Reading Order, Merged Reading Order)
last -> GHAK (Merged Reading Order, Individual Reading Order)
most -> HDCC (Standard Braille Order, Individual Reading Order)
most -> HLCC (Individual Reading Order, Standard Braille Order)
most -> BANDEA (Merged Reading Order, Standard Braille Order)
buy -> KWHER (Standard Braille Order, Individual Reading Order)
buy -> CGHOF (Individual Reading Order, Standard Braille Order)
buy -> VCHGG (Individual Reading Order, Merged Reading Order)
